trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,frameRate,expStart,
78,0,78,0,149.6058955999324,,149.56173379998654,5,149.6058955999324,149.6058955999324,0.014628299977630377,150.76058719994035,[-0.10166666666666667],[0.22833333333333333],[1],[0],[0],[1.1845020999899134],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
79,0,79,0,150.82249609997962,,150.76291940000374,10,150.82249609997962,150.82249609997962,0.034316199948079884,152.15942029992584,[-0.2],[0.145],[1],[0],[0],[1.3624563000630587],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
80,0,80,0,152.22314619994722,,152.1619494999759,10,152.22314619994722,152.22314619994722,0.030260900035500526,153.54336269991472,[0.011666666666666667],[0.17333333333333334],[1],[0],[0],[1.3513906999723986],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
81,0,81,0,153.57336369995028,,153.54611929995008,5,153.57336369995028,153.57336369995028,0.014010799932293594,155.6632200999884,[-0.405],[-0.20666666666666667],[1],[0],[0],[2.103346199961379],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
82,0,82,0,155.7242644999642,,155.66559629992116,10,155.7242644999642,155.7242644999642,0.028711100108921528,158.36314579995815,[-0.48833333333333334],[0.24],[1],[0],[0],[2.6690656000282615],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
83,0,83,0,158.42519280000124,,158.3657297999598,10,158.42519280000124,158.42519280000124,0.03114779992029071,160.2811381999636,[-0.39],[0.13833333333333334],[1],[0],[0],[1.8847641999600455],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
84,0,84,0,160.34262199990917,,160.2836987999035,10,160.34262199990917,160.34262199990917,0.03409740002825856,162.33031089999713,[-0.37333333333333335],[-0.18833333333333332],[1],[0],[0],[2.012901999987662],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
85,0,85,0,162.3602918999968,,162.3332249999512,5,162.3602918999968,162.3602918999968,0.016196300042793155,163.46498479996808,[0.4066666666666667],[0.005],[1],[0],[0],[1.1163196000270545],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
86,0,86,0,163.51123449997976,,163.46749889990315,5,163.51123449997976,163.51123449997976,0.01732419990003109,164.84970209992025,[-0.08333333333333333],[-0.36],[1],[0],[0],[1.3651455999352038],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
87,0,87,0,164.87778779992368,,164.85241069993936,5,164.87778779992368,164.87778779992368,0.014054400031454861,168.73473339993507,[0.2633333333333333],[-0.39666666666666667],[1],[0],[0],[3.8685345000121742],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
